,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
PEMT,0.214198123,4.432524624,-1.785698679,0.088810227,0.579391527,-4.325784824,PEMT
CACUL1,0.103605366,3.307967141,-1.785666252,0.088815629,0.579391527,-4.32583084,CACUL1
FBF1,0.139150126,3.197778907,-1.785015747,0.088924043,0.579678643,-4.326753839,FBF1
HIST1H2BI,0.072896665,3.195918717,-1.784960756,0.088933213,0.579678643,-4.326831855,HIST1H2BI
MAP3K9,0.11266463,3.390699311,-1.784910226,0.08894164,0.579678643,-4.326903541,MAP3K9
RSPO2,0.107773476,3.448097218,-1.784742966,0.088969539,0.579682331,-4.327140818,RSPO2
IL9R,-0.215106364,3.671838372,1.784537132,0.089003883,0.579727994,-4.327432794,IL9R
TKFC,0.120484369,3.582090696,-1.784007412,0.08909232,0.579960287,-4.328184097,TKFC
SUPT4H1,0.339145845,5.27733219,-1.783894217,0.089111228,0.579960287,-4.328344622,SUPT4H1
RALA,-0.375719466,6.185840049,1.783760068,0.08913364,0.579960287,-4.328534851,RALA
MYT1L-AS1,0.086063988,3.198602405,-1.78346078,0.08918366,0.579960287,-4.328959222,MYT1L-AS1
CAVIN2,-0.208340638,3.54086312,1.783420615,0.089190375,0.579960287,-4.32901617,CAVIN2
GRB2,0.422778613,6.83134853,-1.783249553,0.089218977,0.579960287,-4.329258699,GRB2
ALS2CL,0.102403144,3.205035741,-1.783177841,0.08923097,0.579960287,-4.329360365,ALS2CL
RASGEF1B,0.075844725,3.209567043,-1.781967248,0.089433637,0.581099443,-4.331076206,RASGEF1B
DLK1,0.094950414,3.216885115,-1.781605539,0.089494269,0.581164653,-4.331588717,DLK1
NFS1,0.110565082,3.251997335,-1.780957234,0.089603029,0.581164653,-4.33250713,NFS1
NELL1,0.084115877,3.223842168,-1.78093232,0.089607211,0.581164653,-4.332542419,NELL1
DIPK2A,-0.16851879,3.695417106,1.780889235,0.089614444,0.581164653,-4.332603446,DIPK2A
GRK1,0.092368703,3.238503526,-1.780831769,0.089624091,0.581164653,-4.33268484,GRK1
TMEM191C,0.15514874,3.59787267,-1.780810268,0.089627701,0.581164653,-4.332715295,TMEM191C
MIR100HG,0.085966416,3.197865673,-1.780699408,0.089646315,0.581164653,-4.332872311,MIR100HG
DHX35,0.228726373,3.772049471,-1.780600656,0.089662898,0.581164653,-4.333012171,DHX35
TFDP3,0.091391969,3.115821054,-1.779866108,0.089786337,0.581722009,-4.334052329,TFDP3
MIR153-1,-0.082223723,3.088762732,1.779653616,0.089822072,0.581722009,-4.334353172,MIR153-1
RGS2,-0.745875223,8.500329986,1.779526393,0.089843474,0.581722009,-4.334533281,RGS2
ACTR6,-0.271305991,4.579424071,1.779436461,0.089858605,0.581722009,-4.334660592,ACTR6
ATAD3B,0.110101583,3.424551548,-1.779091358,0.08991669,0.581746045,-4.335149089,ATAD3B
MON1A,0.123999198,3.554717974,-1.77901143,0.089930147,0.581746045,-4.335262218,MON1A
KCTD16,0.071281963,3.188482349,-1.778902819,0.089948437,0.581746045,-4.33541594,KCTD16
SOCS2,-0.279507274,4.01813965,1.778762678,0.08997204,0.581746045,-4.335614278,SOCS2
ZNF667,-0.084142184,3.347608791,1.778047699,0.090092546,0.58215908,-4.336625995,ZNF667
ALOX12P2,0.100156046,3.225426321,-1.77778458,0.090136928,0.58215908,-4.336998245,ALOX12P2
IGF2,0.09191605,3.154078232,-1.777713083,0.090148991,0.58215908,-4.337099389,IGF2
HAP1,0.083918836,3.277043434,-1.777261987,0.090225134,0.58215908,-4.337737472,HAP1
