,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
C16orf78,0.055208924,3.233493482,-0.940211668,0.357953752,0.82248314,-5.294773526,C16orf78
DUOX1,0.05760535,3.406413424,-0.9401404,0.357989443,0.82248314,-5.294833182,DUOX1
MYBPC1,0.057741753,3.247534925,-0.940026324,0.358046576,0.82248314,-5.294928662,MYBPC1
CDSN,-0.048032977,3.268941243,0.939968401,0.358075589,0.82248314,-5.294977139,CDSN
SRD5A2,-0.054954331,3.268060618,0.939966219,0.358076682,0.82248314,-5.294978965,SRD5A2
ATG4B,0.048324368,3.239041404,-0.939863946,0.358127912,0.82248314,-5.295064552,ATG4B
UBXN10,0.047309352,3.252352077,-0.939854578,0.358132604,0.82248314,-5.295072391,UBXN10
SNORD10,0.076747686,3.433819359,-0.939775359,0.35817229,0.82248314,-5.295138679,SNORD10
INKA2,-0.078137841,3.448955373,0.939625204,0.35824752,0.82248314,-5.29526431,INKA2
ADGRL1,0.065320903,3.260833175,-0.939567382,0.358276493,0.82248314,-5.295312683,ADGRL1
CCDC65,0.10314568,3.918225108,-0.939500097,0.358310209,0.82248314,-5.29536897,CCDC65
MIR200C,0.036260991,3.188200029,-0.939492558,0.358313987,0.82248314,-5.295375277,MIR200C
OR2W5,0.046183478,3.327449027,-0.93948829,0.358316126,0.82248314,-5.295378846,OR2W5
PFKFB2,0.048177109,3.244147249,-0.93948045,0.358320055,0.82248314,-5.295385405,PFKFB2
B3GNT2,-0.059647434,3.38205716,0.939385008,0.358367885,0.82248314,-5.295465238,B3GNT2
UTF1,0.038395528,3.094715874,-0.939311726,0.358404613,0.82248314,-5.295526531,UTF1
ALOXE3,0.072481194,3.369305568,-0.939294029,0.358413483,0.82248314,-5.295541332,ALOXE3
GRIK1,-0.047565885,3.169884723,0.939122458,0.358499482,0.82248314,-5.295684812,GRIK1
LINC02433,-0.054785286,3.329991861,0.939110351,0.358505552,0.82248314,-5.295694936,LINC02433
CCDC125,-0.253061442,8.495898176,0.939108753,0.358506352,0.82248314,-5.295696272,CCDC125
OR5AS1,0.051723579,3.304709541,-0.939105605,0.358507931,0.82248314,-5.295698905,OR5AS1
PQLC2L,0.047949247,3.231100014,-0.939097954,0.358511766,0.82248314,-5.295705302,PQLC2L
DOLK,0.087889066,3.83044845,-0.938891289,0.358615378,0.82248314,-5.295878096,DOLK
HLA-E,0.135260218,9.878665101,-0.938875818,0.358623135,0.82248314,-5.295891029,HLA-E
KIAA0895L,0.06000016,3.372438751,-0.938768097,0.35867715,0.82248314,-5.29598108,KIAA0895L
HTR3D,0.052485766,3.263634745,-0.938757429,0.3586825,0.82248314,-5.295989998,HTR3D
NTSR2,0.05259536,3.268657509,-0.938731857,0.358695323,0.82248314,-5.296011374,NTSR2
HIST1H4E,-0.111631755,4.111346915,0.938717007,0.35870277,0.82248314,-5.296023787,HIST1H4E
GLIPR1L1,0.049618313,3.298141166,-0.938696031,0.358713289,0.82248314,-5.29604132,GLIPR1L1
WFDC10B,0.050178311,3.197724575,-0.938524885,0.358799125,0.82248314,-5.296184362,WFDC10B
PPP4R1L,-0.064943126,3.303469987,0.938386982,0.358868298,0.82248314,-5.296299604,PPP4R1L
EIF3H,0.207504633,6.57031948,-0.938332716,0.358895521,0.82248314,-5.296344948,EIF3H
SFMBT1,0.099673803,3.892474641,-0.93832615,0.358898815,0.82248314,-5.296350434,SFMBT1
OR4N5,0.052396501,3.211454728,-0.938263318,0.358930336,0.82248314,-5.296402932,OR4N5
CDC7,-0.129936394,4.360500447,0.938202881,0.358960658,0.82248314,-5.296453427,CDC7
C11orf97,0.041758351,3.2346238,-0.938181613,0.358971329,0.82248314,-5.296471195,C11orf97
TEKT4P2,0.05546937,3.312545755,-0.938144897,0.358989751,0.82248314,-5.296501869,TEKT4P2
MIR943,-0.055268513,3.329900927,0.938100643,0.359011956,0.82248314,-5.296538838,MIR943
LINC01550,0.074570559,3.433620219,-0.938099764,0.359012397,0.82248314,-5.296539573,LINC01550
IRX5,0.044884063,3.239270956,-0.937955362,0.359084859,0.82248314,-5.296660195,IRX5
PMS2P2,-0.051319878,3.4037304,0.937893625,0.359115842,0.82248314,-5.29671176,PMS2P2
AR,-0.076503962,3.391900402,0.93788296,0.359121195,0.82248314,-5.296720667,AR
MGST2,-0.243694301,6.991688762,0.937869453,0.359127974,0.82248314,-5.296731949,MGST2
OR2S2,0.044539916,3.198113955,-0.937687618,0.359219242,0.82248314,-5.296883803,OR2S2
NTF3,0.04461727,3.229544987,-0.937584789,0.359270861,0.82248314,-5.296969665,NTF3
LDLRAD2,0.04678927,3.214894382,-0.937564186,0.359281204,0.82248314,-5.296986868,LDLRAD2
CHCHD5,0.156647004,5.23602641,-0.937522195,0.359302286,0.82248314,-5.297021928,CHCHD5
C10orf53,0.052871044,3.210217814,-0.937501955,0.359312447,0.82248314,-5.297038826,C10orf53
TNS2,0.058273938,3.307222875,-0.937470422,0.359328279,0.82248314,-5.297065152,TNS2
RPL7,-0.125107008,10.04886499,0.93735434,0.359386563,0.82248314,-5.29716206,RPL7
SEC31A,0.157031387,5.3504344,-0.937335145,0.359396202,0.82248314,-5.297178083,SEC31A
GPR20,-0.055490278,3.335379159,0.937269501,0.359429165,0.82248314,-5.297232879,GPR20
HIST1H3H,0.05090972,3.228531248,-0.937167709,0.359480284,0.822511368,-5.297317841,HIST1H3H
SOX10,0.040972671,3.153480641,-0.936856312,0.359636696,0.822739048,-5.297577701,SOX10
HEXIM1,0.06307518,3.570620856,-0.93659688,0.359767041,0.822739048,-5.297794137,HEXIM1
FAM47C,0.051298474,3.367931873,-0.936559512,0.359785818,0.822739048,-5.297825308,FAM47C
MED25,-0.075925412,3.571985269,0.936555457,0.359787856,0.822739048,-5.29782869,MED25
MT1DP,0.047138102,3.261638116,-0.936460878,0.359835384,0.822739048,-5.297907577,MT1DP
UBAP1L,0.043478573,3.247814962,-0.936423422,0.359854208,0.822739048,-5.297938817,UBAP1L
TBCE,0.154504191,4.720580758,-0.936373712,0.359879192,0.822739048,-5.297980276,TBCE
OR51G2,-0.042448337,3.155961838,0.936145746,0.359993778,0.822739048,-5.298170374,OR51G2
SNORD50A,0.042984214,3.234456423,-0.936101541,0.360016,0.822739048,-5.298207231,SNORD50A
UCN2,-0.056846457,3.166685325,0.936082778,0.360025432,0.822739048,-5.298222875,UCN2
POM121L9P,-0.056946927,3.395690862,0.935942807,0.360095804,0.822739048,-5.298339567,POM121L9P
YIPF1,-0.222333426,6.550169003,0.935918578,0.360107987,0.822739048,-5.298359765,YIPF1
HMHB1,-0.057084226,3.25105974,0.935896017,0.360119331,0.822739048,-5.298378572,HMHB1
TAP1,-0.170822834,8.660966272,0.935877288,0.360128749,0.822739048,-5.298394184,TAP1
DPM3,-0.206859356,6.571237986,0.935806769,0.360164208,0.822739048,-5.298452965,DPM3
ARHGEF39,0.060364991,3.255098942,-0.93568218,0.360226863,0.822739048,-5.298556806,ARHGEF39
COL8A2,-0.088060423,3.70430242,0.935637079,0.360249545,0.822739048,-5.298594394,COL8A2
ZCCHC2,0.051450233,3.237054819,-0.935580343,0.360278081,0.822739048,-5.298641676,ZCCHC2
NF2,0.05844137,3.496697275,-0.93536935,0.360384214,0.82289281,-5.298817486,NF2
GPC6,0.070699956,3.71301824,-0.935106657,0.360516383,0.823084587,-5.299036326,GPC6
RIPOR1,-0.226071331,4.630579083,0.935048151,0.360545823,0.823084587,-5.299085057,RIPOR1
GPR4,-0.049319388,3.168664344,0.934675697,0.360733282,0.823423899,-5.299395221,GPR4
CNTF,0.04278387,3.189702885,-0.93438876,0.360877744,0.823665002,-5.299634093,CNTF
SRPX,0.04854119,3.204899233,-0.934163665,0.360991099,0.823789288,-5.299821436,SRPX
RUNX2,-0.093732346,3.873914675,0.934126364,0.361009885,0.823789288,-5.299852477,RUNX2
SNX4,-0.081765017,3.874788921,0.93403917,0.361053803,0.823800866,-5.299925033,SNX4
ALPK1,-0.079706089,3.475332194,0.933902556,0.361122619,0.823869245,-5.3000387,ALPK1
GJB1,-0.04806019,3.319934974,0.933810367,0.361169062,0.823886573,-5.300115397,GJB1
IL17REL,-0.049393587,3.205128408,0.933597191,0.361276472,0.824023482,-5.30029272,IL17REL
SIGLECL1,0.053307344,3.195678819,-0.933537031,0.361306788,0.824023482,-5.300342756,SIGLECL1
DMRTA2,0.057762535,3.307879012,-0.933432508,0.361359463,0.824055,-5.300429681,DMRTA2
TMEM38B,0.093926188,3.569044285,-0.933272158,0.361440283,0.824132704,-5.300563017,TMEM38B
MCIDAS,-0.05208089,3.298179037,0.933164269,0.361494668,0.824132704,-5.300652719,MCIDAS
SNORA5C,0.066320761,3.542370212,-0.933079981,0.361537161,0.824132704,-5.300722792,SNORA5C
TCEAL5,0.074445872,3.626922854,-0.933056545,0.361548976,0.824132704,-5.300742274,TCEAL5
EVX2,0.05731869,3.246437709,-0.932741785,0.361707689,0.824349846,-5.301003892,EVX2
BID,0.106828963,4.100556208,-0.932713456,0.361721976,0.824349846,-5.301027434,BID
CHRNA2,0.054932707,3.451311626,-0.932583551,0.361787494,0.824410571,-5.301135381,CHRNA2
USB1,-0.176856575,5.555435506,0.932348045,0.361906293,0.82459268,-5.301331042,USB1
LCE1D,0.037721819,3.14344921,-0.93184405,0.362160617,0.825083507,-5.301749618,LCE1D
HSD3BP4,-0.043376687,3.240592488,0.93155818,0.362304925,0.82521817,-5.301986945,HSD3BP4
RAB5IF,0.178430366,8.436779149,-0.93151506,0.362326696,0.82521817,-5.302022737,RAB5IF
PRORSD1P,-0.074307365,3.626116401,0.931468249,0.362350331,0.82521817,-5.302061592,PRORSD1P
MIR187,0.056877068,3.216484457,-0.931418662,0.362375369,0.82521817,-5.302102749,MIR187
MAGI3,0.056077678,3.192649083,-0.931221661,0.362474851,0.825276289,-5.302266237,MAGI3
GRIK5,0.055413831,3.400255614,-0.931214005,0.362478717,0.825276289,-5.302272589,GRIK5
HCG22,0.047338487,3.224207576,-0.930878262,0.362648305,0.825573772,-5.302551143,HCG22
PIH1D2,-0.04200777,3.186928737,0.930793918,0.362690917,0.825582158,-5.302621106,PIH1D2
VPS11,-0.117480143,4.364195124,0.930631083,0.362773193,0.825657132,-5.30275616,VPS11
CDK3,0.057004841,3.36503894,-0.930574636,0.362801717,0.825657132,-5.302802972,CDK3
CCDC59,-0.162863212,5.985146239,0.930301472,0.362939774,0.825882696,-5.303029471,CCDC59
MMP21,-0.050493378,3.40176974,0.93012946,0.363026727,0.825963655,-5.303172067,MMP21
CCDC114,-0.05007777,3.178755137,0.93005262,0.363065575,0.825963655,-5.303235759,CCDC114
RGS9,0.047513442,3.213444184,-0.929999979,0.36309219,0.825963655,-5.303279389,RGS9
PRXL2A,-0.175501756,9.746981532,0.929895489,0.363145023,0.825995244,-5.303365988,PRXL2A
ABCF1,-0.164867744,7.707731155,0.929446658,0.363372026,0.8261275,-5.303737866,ABCF1
MSRA,-0.153473547,5.088540615,0.929376346,0.363407595,0.8261275,-5.303796107,MSRA
EIF4EBP3,0.100041088,4.219343013,-0.929334235,0.3634289,0.8261275,-5.303830988,EIF4EBP3
PDS5B,-0.119016877,4.416896397,0.92930687,0.363442745,0.8261275,-5.303853653,PDS5B
NIT2,-0.129616496,5.012180788,0.929305899,0.363443236,0.8261275,-5.303854457,NIT2
HIST4H4,-0.144089582,3.813064353,0.929214575,0.363489442,0.8261275,-5.303930093,HIST4H4
IGFBP6,0.04873465,3.295793768,-0.929189864,0.363501946,0.8261275,-5.303950558,IGFBP6
DHRS7B,-0.135723585,4.192622838,0.929164464,0.363514798,0.8261275,-5.303971593,DHRS7B
EARS2,-0.081293644,3.820000738,0.928994495,0.36360081,0.826234434,-5.304112339,EARS2
SGK3,-0.166919628,4.752632635,0.92862945,0.363785584,0.826565746,-5.304414541,SGK3
GINS2,-0.272960722,7.053614037,0.928528839,0.363836522,0.826592925,-5.304497813,GINS2
KIF4B,0.043743934,3.21242478,-0.92843894,0.36388204,0.826607787,-5.304572212,KIF4B
RBP7,0.095637319,3.558026749,-0.928233105,0.363986274,0.826622336,-5.304742533,RBP7
KIAA1522,0.052959525,3.355377932,-0.928195945,0.364005094,0.826622336,-5.304773278,KIAA1522
DTX4,-0.047838104,3.19427902,0.928170725,0.364017867,0.826622336,-5.304794143,DTX4
LIF,0.06067182,3.447545562,-0.928088063,0.364059735,0.826622336,-5.304862529,LIF
RPAIN,-0.16518631,7.584476952,0.927975892,0.364116554,0.826622336,-5.304955319,RPAIN
ZNF781,-0.067723428,3.235204002,0.927961192,0.364124,0.826622336,-5.304967479,ZNF781
RUSC1-AS1,0.061694105,3.465520459,-0.927887597,0.364161283,0.826622336,-5.305028351,RUSC1-AS1
ZNF594,-0.090298595,10.66631841,0.927612149,0.364300845,0.826651722,-5.305256143,ZNF594
ING5,0.067307666,3.524473765,-0.927596885,0.36430858,0.826651722,-5.305268765,ING5
NFU1,0.119368371,4.415223544,-0.927393178,0.364411817,0.826651722,-5.305437185,NFU1
CD52,0.242849441,9.244035161,-0.92734536,0.364436053,0.826651722,-5.305476716,CD52
ODC1,0.195710795,6.575939238,-0.927344701,0.364436388,0.826651722,-5.305477261,ODC1
METTL2B,-0.054120201,3.284479232,0.927324697,0.364446527,0.826651722,-5.305493797,METTL2B
PPP1R16B,-0.189006806,6.021807577,0.927141206,0.364539541,0.826651722,-5.305645464,PPP1R16B
SLC39A6,-0.089759646,3.59428947,0.927109003,0.364555867,0.826651722,-5.305672079,SLC39A6
C9orf43,0.047401797,3.222060224,-0.927070794,0.364575239,0.826651722,-5.305703658,C9orf43
MIR1251,0.052793449,3.188500093,-0.926974114,0.364624258,0.826651722,-5.305783554,MIR1251
HARS,0.188199825,5.96863721,-0.926937598,0.364642773,0.826651722,-5.305813728,HARS
KRT74,0.051876705,3.204593206,-0.926882183,0.364670872,0.826651722,-5.305859518,KRT74
ZNF134,-0.052122472,3.259950057,0.926778722,0.364723338,0.826651722,-5.305945002,ZNF134
HSD17B10,0.210902253,5.963592494,-0.926754533,0.364735605,0.826651722,-5.305964986,HSD17B10
OR10W1,-0.049543479,3.170196972,0.926708594,0.364758903,0.826651722,-5.306002939,OR10W1
CAPNS1,0.186953893,6.215335232,-0.926594746,0.364816646,0.826691306,-5.306096989,CAPNS1
MIR215,0.05501158,3.241387784,-0.926520454,0.36485433,0.826691306,-5.306158355,MIR215
KLRC4,0.050036427,3.247950519,-0.926440671,0.364894801,0.826694685,-5.306224253,KLRC4
DNAJB1,0.236351946,6.236996249,-0.926281674,0.364975465,0.826789111,-5.306355561,DNAJB1
RNASE13,0.052846465,3.266567142,-0.926175772,0.365029199,0.826805342,-5.30644301,RNASE13
CDC14A,-0.158321381,4.886767498,0.926113888,0.365060601,0.826805342,-5.306494107,CDC14A
VN1R2,0.047889433,3.300437712,-0.925938501,0.365149608,0.826918621,-5.306638905,VN1R2
MYO1C,0.063117338,3.420791287,-0.925779667,0.365230227,0.826951809,-5.306770014,MYO1C
KRT23,0.050820341,3.202448416,-0.925755985,0.365242248,0.826951809,-5.306789561,KRT23
MBOAT2,-0.135981886,4.606205013,0.925648395,0.365296865,0.826987181,-5.306878358,MBOAT2
KRTAP10-9,-0.056478256,3.287607429,0.925560649,0.365341413,0.826999753,-5.30695077,KRTAP10-9
PRMT8,-0.047915077,3.227173708,0.92522791,0.365510373,0.827235785,-5.307225304,PRMT8
SNORA69,0.054967743,3.193363469,-0.92491464,0.365669496,0.827235785,-5.307483693,SNORA69
LBHD1,0.190840778,6.91316564,-0.92486629,0.365694059,0.827235785,-5.307523565,LBHD1
OPN1LW,0.047495557,3.197596981,-0.924862726,0.365695869,0.827235785,-5.307526504,OPN1LW
SNORA66,0.049405872,3.368862694,-0.924790364,0.365732633,0.827235785,-5.307586174,SNORA66
NLRP11,-0.044096955,3.173670196,0.924774133,0.365740879,0.827235785,-5.307599558,NLRP11
MBNL1-AS1,0.050604331,3.165609801,-0.924478002,0.365891359,0.827235785,-5.307843704,MBNL1-AS1
NCOA2,0.052623475,3.185284538,-0.92437039,0.365946052,0.827235785,-5.307932407,NCOA2
ZNF224,-0.079550437,3.754431236,0.924312007,0.365975727,0.827235785,-5.307980527,ZNF224
ISCA1,-0.089606972,3.940206744,0.924306466,0.365978544,0.827235785,-5.307985094,ISCA1
CCT8,0.190771311,6.583043848,-0.92426886,0.365997659,0.827235785,-5.308016088,CCT8
LOC645752,-0.050792247,3.28407185,0.924234514,0.366015118,0.827235785,-5.308044393,LOC645752
ZNF107,0.059319867,3.316760912,-0.924160531,0.366052728,0.827235785,-5.308105363,ZNF107
PLP2,0.129747915,4.374386253,-0.923782915,0.36624473,0.827235785,-5.308416488,PLP2
MIR1302-7,0.043683996,3.211482824,-0.923751792,0.366260558,0.827235785,-5.308442126,MIR1302-7
C10orf82,0.059419968,3.254555496,-0.923707644,0.366283011,0.827235785,-5.308478491,C10orf82
DMP1,0.046295108,3.182227322,-0.923644515,0.366315118,0.827235785,-5.308530489,DMP1
BYSL,0.112902621,3.713293368,-0.923621671,0.366326737,0.827235785,-5.308549304,BYSL
NEGR1,-0.03527066,3.119867001,0.923492399,0.366392492,0.827235785,-5.30865577,NEGR1
GLP1R,0.040075669,3.170070642,-0.923434403,0.366421995,0.827235785,-5.30870353,GLP1R
WFDC6,-0.051446551,3.230862834,0.923359497,0.366460101,0.827235785,-5.308765211,WFDC6
MIR31,0.049139159,3.227346563,-0.923348941,0.366465472,0.827235785,-5.308773904,MIR31
CATSPER4,0.044879019,3.252632922,-0.923334603,0.366472766,0.827235785,-5.308785709,CATSPER4
JMJD4,-0.089870379,3.867631402,0.923238982,0.366521417,0.827235785,-5.308864441,JMJD4
PDZD8,0.087528337,3.663145366,-0.923209822,0.366536254,0.827235785,-5.308888448,PDZD8
WIZ,0.071138599,3.555890361,-0.923105816,0.366589177,0.827235785,-5.308974071,WIZ
DCDC2B,-0.040307284,3.180087294,0.922989332,0.366648455,0.827235785,-5.309069957,DCDC2B
TCERG1,-0.100774374,4.163688304,0.92296312,0.366661795,0.827235785,-5.309091533,TCERG1
TRIQK,0.040455204,3.279214205,-0.922907819,0.366689941,0.827235785,-5.309137049,TRIQK
OR2A1,0.056111476,3.312050829,-0.922840914,0.366723994,0.827235785,-5.309192114,OR2A1
TLX1,0.056995046,3.306022928,-0.922708325,0.366791485,0.827235785,-5.309301227,TLX1
RPL23AP82,0.042595548,3.173656037,-0.92269207,0.36679976,0.827235785,-5.309314603,RPL23AP82
DIO2,0.04621555,3.240972693,-0.922683611,0.366804066,0.827235785,-5.309321564,DIO2
JADE1,0.164251392,4.904147253,-0.922678586,0.366806624,0.827235785,-5.309325698,JADE1
STATH,0.063030131,3.205708956,-0.922606345,0.366843401,0.827235785,-5.309385141,STATH
SF3A2,-0.149529769,4.534436899,0.922556835,0.366868608,0.827235785,-5.309425877,SF3A2
SRSF3,-0.187613368,6.988879283,0.922480149,0.366907652,0.827235785,-5.30948897,SRSF3
TMEM139,-0.041663529,3.153816195,0.922374995,0.366961196,0.827235785,-5.309575476,TMEM139
MRGPRG-AS1,0.049588387,3.345776707,-0.922306663,0.366995992,0.827235785,-5.309631685,MRGPRG-AS1
EPB41L5,-0.054532444,3.236763502,0.922287173,0.367005918,0.827235785,-5.309647717,EPB41L5
MAP3K11,-0.223000924,5.148848137,0.922135312,0.367083259,0.827274923,-5.309772621,MAP3K11
MIR16-1,0.042595279,3.207639909,-0.922047807,0.36712783,0.827274923,-5.309844584,MIR16-1
MIR376C,0.041484913,3.220952833,-0.921968886,0.367168031,0.827274923,-5.309909482,MIR376C
PHB,-0.174033975,5.494113578,0.92192611,0.367189822,0.827274923,-5.309944656,PHB
PKP4,-0.156239512,4.529406909,0.921870171,0.36721832,0.827274923,-5.30999065,PKP4
TAFA5,0.048634337,3.219652776,-0.921398596,0.367458618,0.827358814,-5.310378293,TAFA5
DZIP1,0.039243155,3.186015199,-0.921208462,0.367555533,0.827358814,-5.310534535,DZIP1
NCF2,-0.442067992,6.456912602,0.921151371,0.367584637,0.827358814,-5.310581444,NCF2
DENND2D,0.188296239,5.998110643,-0.921109282,0.367606094,0.827358814,-5.310616025,DENND2D
SLC7A5P1,0.05149365,3.326250781,-0.921105394,0.367608077,0.827358814,-5.310619219,SLC7A5P1
ST8SIA2,-0.075681507,3.261705184,0.921021373,0.367650913,0.827358814,-5.310688246,ST8SIA2
PRAMEF12,0.039223843,3.198384556,-0.92097225,0.36767596,0.827358814,-5.310728601,PRAMEF12
SLCO4C1,0.043406247,3.267897737,-0.920922785,0.367701182,0.827358814,-5.310769235,SLCO4C1
USP9X,-0.182060747,5.920320757,0.92089262,0.367716563,0.827358814,-5.310794012,USP9X
UROC1,0.055703437,3.34264433,-0.920842488,0.367742126,0.827358814,-5.310835191,UROC1
LOC100127955,-0.054748559,3.423599077,0.920833227,0.367746849,0.827358814,-5.310842797,LOC100127955
STAMBPL1,-0.161055676,5.063013837,0.920675853,0.367827107,0.827358814,-5.310972049,STAMBPL1
KCNMA1,-0.060025828,3.462036783,0.920639446,0.367845676,0.827358814,-5.311001947,KCNMA1
SNORD31,0.078450107,3.432065647,-0.920615327,0.367857977,0.827358814,-5.311021753,SNORD31
USP50,-0.036112378,3.145037093,0.920497762,0.367917944,0.827358814,-5.311118291,USP50
CDK19,-0.145820486,5.265725488,0.920435701,0.367949602,0.827358814,-5.311169247,CDK19
SRPX2,0.049626881,3.196056842,-0.920393035,0.367971368,0.827358814,-5.311204277,SRPX2
CSN1S1,0.050725641,3.283213474,-0.920250665,0.368044003,0.827358814,-5.311321155,CSN1S1
FUT10,0.050503598,3.153958396,-0.920198463,0.368070638,0.827358814,-5.311364006,FUT10
MAPK8,0.054254313,3.2525447,-0.92014379,0.368098536,0.827358814,-5.311408884,MAPK8
KDELR1,0.151977896,4.793029692,-0.9200718,0.368135271,0.827358814,-5.311467971,KDELR1
6-Mar,-0.197027995,5.850537438,0.920053615,0.368144552,0.827358814,-5.311482897,6-Mar
ZNF707,0.102732202,4.09459007,-0.920037401,0.368152826,0.827358814,-5.311496203,ZNF707
ZDHHC22,-0.054444188,3.334482541,0.919957845,0.368193426,0.827362384,-5.311561493,ZDHHC22
GNAQ,-0.101301633,3.508802053,0.919858277,0.368244244,0.82738891,-5.3116432,GNAQ
SERTAD4,0.048596214,3.276571943,-0.919748369,0.368300344,0.827427299,-5.311733383,SERTAD4
AP4E1,-0.187780155,5.033223582,0.919590706,0.36838083,0.827520459,-5.311862733,AP4E1
DLG2,0.039177095,3.157393342,-0.919259761,0.368549814,0.82752357,-5.31213418,DLG2
PSMD8,-0.212148228,6.858374109,0.919255261,0.368552113,0.82752357,-5.312137871,PSMD8
NCBP1,-0.119641624,4.777833006,0.919246339,0.368556668,0.82752357,-5.312145187,NCBP1
UGT1A5,0.042357311,3.158669916,-0.919182843,0.368589096,0.82752357,-5.312197256,UGT1A5
ELOF1,-0.17757056,6.247170076,0.919133807,0.368614141,0.82752357,-5.312237466,ELOF1
UGT1A7,-0.055426102,3.305799917,0.918992859,0.368686135,0.82752357,-5.312353033,UGT1A7
TMEM187,-0.160950877,4.656989455,0.918981216,0.368692082,0.82752357,-5.312362578,TMEM187
NXNL2,-0.038434034,3.168113731,0.918921534,0.36872257,0.82752357,-5.312411508,NXNL2
NEK3,0.091986276,4.020244179,-0.918900353,0.36873339,0.82752357,-5.312428872,NEK3
SQSTM1,-0.153777162,8.748241039,0.918763385,0.368803366,0.827593036,-5.31254115,SQSTM1
GLI2,0.043775769,3.181423043,-0.918516637,0.368929449,0.827724853,-5.31274338,GLI2
PF4V1,-0.054090583,3.284790526,0.918349725,0.369014755,0.827724853,-5.312880149,PF4V1
PRINS,-0.055729082,3.344746469,0.918347077,0.369016108,0.827724853,-5.312882319,PRINS
LINC01588,-0.054118637,3.236106099,0.918290014,0.369045275,0.827724853,-5.312929072,LINC01588
MAP3K14,0.100158339,3.926805103,-0.918266582,0.369057252,0.827724853,-5.312948269,MAP3K14
SNAI3-AS1,-0.064903599,3.224444927,0.917993926,0.36919664,0.827949914,-5.313171619,SNAI3-AS1
UPP2,0.047985903,3.237292502,-0.917760285,0.36931611,0.828089131,-5.313362961,UPP2
LAMP5,0.066015613,3.256068727,-0.917601984,0.369397071,0.828089131,-5.313492578,LAMP5
IFNB1,0.056100829,3.155350894,-0.917570655,0.369413095,0.828089131,-5.313518228,IFNB1
MRPL12,0.172725692,5.12044502,-0.917557308,0.369419922,0.828089131,-5.313529155,MRPL12
NSMCE2,0.138074207,4.135206481,-0.917490785,0.369453949,0.828089131,-5.313583615,NSMCE2
TMEM209,-0.182390438,4.741576286,0.917324826,0.369538848,0.828191893,-5.313719466,TMEM209
MROH8,-0.04865403,3.196316945,0.917076772,0.369665767,0.828310069,-5.313922474,MROH8
RNF185,-0.072956032,3.440103738,0.917016112,0.369696809,0.828310069,-5.313972112,RNF185
HIST1H4D,-0.045899971,3.238746009,0.916992784,0.369708747,0.828310069,-5.313991199,HIST1H4D
CD200R1L-AS1,-0.160543026,4.676506439,0.916842748,0.369785535,0.828394596,-5.314113956,CD200R1L-AS1
TRIM6,-0.056398705,3.275971131,0.916698478,0.369859382,0.828472515,-5.314231977,TRIM6
TNFAIP8L2,0.085483709,3.635311772,-0.916557106,0.369931755,0.828547118,-5.314347611,TNFAIP8L2
SLC25A21-AS1,0.055453855,3.339639834,-0.916280593,0.370073338,0.828679921,-5.314573735,SLC25A21-AS1
TLE2,0.052469746,3.275324599,-0.916246585,0.370090754,0.828679921,-5.314601541,TLE2
ENY2,-0.199896319,7.592622305,0.916204849,0.370112128,0.828679921,-5.314635665,ENY2
LINS1,-0.159255451,5.168600496,0.916136086,0.370147345,0.828679921,-5.314691884,LINS1
CRTAC1,0.041658994,3.147369057,-0.915946695,0.370244353,0.828809609,-5.314846704,CRTAC1
AGBL1,0.049272505,3.171683431,-0.915838928,0.37029956,0.828845706,-5.314934787,AGBL1
SMLR1,-0.053215822,3.280614823,0.91561819,0.370412657,0.829011357,-5.315115175,SMLR1
WNK3,0.066447644,3.516048042,-0.915496482,0.370475024,0.829017709,-5.315214619,WNK3
NUP133,0.158075536,4.996391261,-0.915407639,0.370520555,0.829017709,-5.315287202,NUP133
NSMCE4A,-0.165737815,6.221487483,0.915383817,0.370532764,0.829017709,-5.315306663,NSMCE4A
RNF31,0.161307225,5.342023676,-0.914753207,0.370856059,0.829495775,-5.315821664,RNF31
PHACTR4,0.161176377,4.637947065,-0.914562603,0.370953813,0.829495775,-5.31597726,PHACTR4
THBS4,0.05211712,3.254999038,-0.914558261,0.37095604,0.829495775,-5.315980804,THBS4
TBC1D9B,-0.169378646,4.945255376,0.9145492,0.370960688,0.829495775,-5.315988201,TBC1D9B
KCTD2,0.12702568,4.230327784,-0.914523784,0.370973724,0.829495775,-5.316008946,KCTD2
TOR1AIP2,-0.062402526,3.311043726,0.91450938,0.370981112,0.829495775,-5.316020703,TOR1AIP2
GOLGA6B,-0.061312941,3.319781043,0.914319152,0.371078695,0.829567642,-5.316175955,GOLGA6B
UGT2B15,0.0586218,3.199781757,-0.91424322,0.371117651,0.829567642,-5.316237918,UGT2B15
PSMD7,0.192474121,5.722465665,-0.914019433,0.371232479,0.829567642,-5.316420507,PSMD7
VWCE,0.05175115,3.206619138,-0.914013889,0.371235324,0.829567642,-5.31642503,VWCE
MAPKAP1,-0.08425079,3.899082819,0.913990809,0.371247168,0.829567642,-5.316443858,MAPKAP1
CAPSL,0.045745252,3.285162857,-0.913964618,0.371260609,0.829567642,-5.316465224,CAPSL
MORF4L2-AS1,0.051775227,3.381418163,-0.913711431,0.371390558,0.829567642,-5.316671741,MORF4L2-AS1
C1QA,-0.059585117,3.44648384,0.913600379,0.371447564,0.829567642,-5.316762305,C1QA
